,index,time,open,high,low,close,volume
4468,259255,2017-07-26 08:00:00,2488.0,2488.0,2474.01,2481.23,44053.358293
4469,259315,2017-07-26 09:00:00,2521.73,2521.99,2510.77,2521.99,37299.885992
4470,259375,2017-07-26 10:00:00,2499.99,2500.0,2496.01,2497.27,21107.763681
4471,259435,2017-07-26 11:00:00,2522.78,2522.81,2522.7,2522.81,8247.0016884
4472,259495,2017-07-26 12:00:00,2534.99,2534.99,2530.77,2531.47,7595.8623952
4473,259554,2017-07-26 13:00:00,2523.76,2525.42,2522.0,2523.89,23725.981962
4474,259614,2017-07-26 14:00:00,2481.03,2485.58,2480.04,2485.5,19867.994996
4475,259674,2017-07-26 15:00:00,2492.37,2493.93,2488.79,2488.79,12691.522267
4476,259734,2017-07-26 16:00:00,2436.93,2437.0,2431.0,2437.0,132510.67013
4477,259793,2017-07-26 17:00:00,2431.31,2432.03,2430.0,2432.03,3766.3461522
4478,259853,2017-07-26 18:00:00,2472.99,2473.04,2464.06,2470.0,8057.1398125
4479,259913,2017-07-26 19:00:00,2471.0,2476.06,2466.47,2476.06,58032.961214
4480,259973,2017-07-26 20:00:00,2472.19,2479.47,2471.39,2471.4,17461.723859
4481,260030,2017-07-26 21:00:00,2499.97,2502.73,2499.97,2502.73,13780.466205
4482,260090,2017-07-26 22:00:00,2464.54,2464.54,2451.11,2457.2,62515.842105
4483,260147,2017-07-26 23:00:00,2509.97,2509.99,2504.84,2509.99,23536.548262
4484,260204,2017-07-27 00:00:00,2524.99,2531.1,2524.9,2531.1,35788.182032
4485,260261,2017-07-27 01:00:00,2535.11,2535.28,2526.93,2535.08,1221.2280701
4486,260315,2017-07-27 02:00:00,2549.68,2549.68,2545.15,2549.65,284.90545384
4487,260371,2017-07-27 03:00:00,2529.09,2533.77,2529.09,2530.8,910.10244448
4488,260424,2017-07-27 04:00:00,2541.81,2541.81,2541.81,2541.81,46.75618826
4489,260478,2017-07-27 05:00:00,2562.05,2562.05,2562.04,2562.05,1743.1490451
4490,260534,2017-07-27 06:00:00,2567.22,2568.0,2559.99,2567.99,66195.707277
4491,260587,2017-07-27 07:00:00,2560.55,2560.55,2558.46,2560.25,799.64758009
4492,260646,2017-07-27 08:00:00,2536.65,2540.88,2535.77,2538.44,9377.7524736
4493,260704,2017-07-27 09:00:00,2552.18,2557.67,2552.0,2555.26,44020.151355
4494,260762,2017-07-27 10:00:00,2565.14,2572.12,2565.14,2567.62,18582.587774
4495,260820,2017-07-27 11:00:00,2586.69,2587.34,2586.14,2586.69,41765.341349
4496,260879,2017-07-27 12:00:00,2577.01,2577.01,2577.0,2577.0,20634.980723
4497,260939,2017-07-27 13:00:00,2568.46,2570.1,2568.46,2569.87,94756.626637
4498,260999,2017-07-27 14:00:00,2574.01,2577.98,2570.12,2570.12,24917.557215
